GeneID	log2(FC)
FBgn0265530	-0.812535231015976
FBgn0086757	-0.392316442805499
FBgn0025683	-0.296133360207404
FBgn0037718	-0.329700833182486
FBgn0037028	0.51542758924657
FBgn0030966	0.511265267852091
FBgn0033153	0.548015691280264
FBgn0035766	-0.333458306215303
FBgn0261550	-0.336516520995448
FBgn0031988	-0.356185497428341
FBgn0038465	-0.334522335557669
FBgn0035850	-0.356202861150276
FBgn0027945	0.53997003772911
FBgn0000139	-0.407348819024734
FBti0060355	0.700830886799325
FBgn0010768	-0.479924826377111
FBgn0003279	-0.330690112874546
FBgn0034221	-0.718103563410905
FBgn0043362	-0.332606572263081
FBgn0286198	-0.404480518089463
FBgn0002780	-0.320333509164297
FBgn0035903	-0.62979850642269
FBgn0035644	-0.474454045994544
FBgn0034403	0.746429157876332
FBgn0000928	0.421554032122053
FBgn0035932	0.817899018767498
FBgn0033483	-0.286362809543076
FBgn0039590	0.376074523949369
FBgn0051216	0.33978018962097
FBgn0261811	0.361640397375291
FBgn0004650	-0.600850869683582
FBgn0050344	-0.395136904898128
FBgn0036290	0.389760377240078
FBgn0034950	0.669412335921148
FBgn0032140	0.381209359988023
FBgn0051098	-0.575119188290087
FBgn0038745	-0.33012788832848
FBgn0029506	0.390989503847768
FBgn0010549	-0.445327452240176
FBti0019249	-0.580498575655496
FBgn0004872	0.394152122657289
FBgn0023129	-0.440469420122453
FBgn0029823	0.356913549338069
FBgn0261445	-0.289034300200661
FBgn0014033	-0.433040206913973
FBgn0053558	0.413499719163902
FBgn0002543	0.57420105076615
FBgn0033844	-0.280034723271471
FBgn0046687	-0.478731895626065
FBgn0036279	-0.41983248677307
FBgn0030974	-0.328164658751965
FBgn0034249	0.446006878276526
FBgn0265045	-0.359660674221388
FBgn0029975	0.36484868946497
FBgn0259683	0.677678580777476
FBgn0013997	0.368441607000016
FBgn0019957	-0.400305089194201
FBgn0263593	-0.337144454369631
FBgn0039108	0.569652321088679
FBgn0050035	0.422780739380648
FBgn0035496	-0.53647946025885
FBgn0035608	0.379175038283735
FBgn0038391	-0.48944680672825
FBgn0038874	-0.648785568360946
FBgn0266758	-0.328066612766591
FBgn0039538	0.630435548906075
FBgn0025865	0.285331649307268
FBgn0270927	-0.345214584446588
FBgn0086708	-0.521144253092554
FBgn0030343	0.412491996640382
FBgn0004584	0.380189508452685
FBgn0016693	-0.291861298389857
FBgn0020416	-0.328784117565599
FBgn0037901	0.374029204630512
FBgn0003117	-0.368681070743231
FBgn0031245	0.65529157614796
FBgn0037896	0.669980570593063
FBgn0034753	0.311508486649706
FBgn0026576	-0.369966922635065
FBgn0262582	-0.405107735423179
FBgn0030318	0.38136850527286
FBgn0033924	0.455045035294743
FBgn0014163	0.522917566568962
FBgn0286785	-0.366060742578988
FBgn0087035	-0.272370353631389
FBgn0286781	0.291517551892437
FBgn0003862	-0.426189243922586
FBgn0051005	-0.447822951599196
FBgn0034365	-0.42754092633053
FBgn0020762	-0.386320629796162
FBgn0041183	-0.542845182568721
FBgn0032785	-0.510350072060236
FBgn0010246	-0.363143497064445
FBgn0025574	0.436099472051023
FBgn0259741	0.768543773412827
FBgn0243512	-0.398599388398816
FBgn0001197	0.308870607518061
FBgn0036257	-0.330846726055833
FBgn0260936	-0.309910733311136
FBgn0052813	-0.54896524526316
FBgn0036764	0.377229470009083
FBgn0020764	-0.379859386725585
FBgn0016926	-0.385749664091939
FBgn0027621	-0.375416261313517
FBgn0003053	0.694149110495248
FBti0019740	-0.642766061394279
FBgn0034029	0.399039556028574
FBgn0037717	0.385455106197928
FBgn0038020	0.398640350273461
FBgn0027932	0.322110024493363
FBgn0285947	-0.286927944336012
FBti0019307	0.68814706169547
FBgn0027657	-0.429117966135245
FBgn0032698	-0.436196476522586
FBgn0033192	-0.411068377884269
FBgn0264987	0.569671429444447
FBgn0003366	-0.769868993539622
FBgn0267408	0.273091019219793
FBgn0031752	-0.315376361489276
FBgn0039788	0.761456090776044
FBgn0028970	-0.469463532094741
FBgn0085434	-0.393431674709729
FBgn0000064	0.269426829920307
FBgn0040308	0.374259826961745
FBgn0264816	0.598737643958712
FBgn0035083	-0.352269527917892
FBgn0284221	0.434156415754621
FBgn0003886	0.559214552039989
FBgn0014469	-0.327620582005244
FBgn0041588	0.323626515876581
FBgn0011754	0.397440282953491
FBgn0032421	0.562934080095784
FBgn0010194	0.304049246039073
FBgn0037445	-0.373238302664053
FBgn0051477	0.721869131710983
FBgn0003888	0.373388441875888
FBgn0039580	-0.357361854956456
FBgn0005694	-0.346106733476097
FBgn0031070	0.415022814040664
FBgn0037884	-0.410656004747686
FBgn0036801	-0.735965304188125
FBgn0037213	0.425370100660386
FBgn0262035	-0.479138999095542
FBgn0265191	0.388954712245076
FBgn0053508	0.668463097279431
FBgn0036194	-0.340532905870296
FBgn0041191	-0.35307701905257
FBgn0037705	-0.485994501093113
FBgn0037852	0.363405356650086
FBti0019110	0.742908258721249
FBgn0031170	-0.349742468675461
FBgn0038953	0.352772593413703
FBgn0266020	0.745833412405292
FBgn0052133	-0.347234141510307
FBgn0053329	-0.494957433871413
FBgn0036272	0.344548582473548
FBgn0002567	0.679556885585709
FBgn0052280	0.447817871145396
FBgn0001257	0.49647613887658
FBgn0028671	-0.277420861663772
FBgn0039612	-0.309407381035514
FBgn0005636	-0.533292873240979
FBgn0035113	0.576466507416628
FBgn0053193	0.428328359355197
FBgn0086357	0.337705535524496
FBgn0035969	0.715498323959739
FBgn0038118	-0.372759781439933
FBgn0033205	0.330419663527804
FBgn0032699	0.313114187749557
FBgn0266268	0.325088498641919
FBgn0012034	-0.351763781373882
FBgn0033292	-0.642930626956834
FBgn0030576	-0.453505142625975
FBgn0085468	0.520885966271835
FBgn0023169	-0.320103586971836
FBgn0029970	0.529600561823881
FBgn0014417	-0.339124134232199
FBgn0036147	-0.29901686820515
FBgn0050046	-0.30886318519818
FBgn0040477	-0.519253330288205
FBgn0037760	-0.318771479793992
FBgn0004512	0.372065876009523
FBgn0261015	-0.646757186555048
FBgn0028646	-0.333214453677791
FBgn0036053	-0.33254699394768
FBgn0085249	-0.548080859633632
FBgn0030482	-0.26829511592492
