category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
04340	0.720697665975471	0.551063673084559	2	22	1	1
03430	0.723851662275091	0.647417070166433	1	16	1	1
04350	0.725083982970518	0.542525976985548	2	27	1	1
00790	0.792422557022883	0.549226869321337	1	19	1	1
03018	0.800908578176747	0.390257792172859	3	48	1	1
00514	0.809937558663885	0.421595580474973	2	34	1	1
00350	0.817318963685223	0.509818171042654	1	18	1	1
00562	0.821823870681376	0.404551363214553	2	30	1	1
00380	0.830725282580144	0.485908576479438	1	19	1	1
00020	0.856978807439523	0.34424327210207	2	37	1	1
04144	0.888785650502401	0.217135468738159	5	75	1	1
04330	0.89925688570647	0.347213281378013	1	20	1	1
04745	0.915772053803749	0.305674763827498	1	23	1	1
00830	0.920525722524609	0.291199206370033	1	29	1	1
04914	0.932403931602466	0.196373528776782	2	40	1	1
04120	0.972171537068227	0.0726255623116122	4	89	1	1
04310	0.98098131525673	0.0585767682266685	3	84	1	0.929906195598362
00970	0.981270229342232	0.098217862111504	1	37	1	1
03013	0.991039331327599	0.0270753396553679	4	112	1	0.618400844961637
03015	0.995882939046411	0.0283222102722428	1	52	1	0.618400844961637
03008	0.996310669636141	0.0254929614090751	1	74	1	0.618400844961637
03040	0.9998078710926	0.00195092745666513	1	98	1	0.247767786996471
00061	1	0.680934532563424	0	4	1	1
00072	1	0.647747020945229	0	5	1	1
00130	1	0.617596639754343	0	7	1	1
00450	1	0.33906462765727	0	11	1	1
00471	1	0.820591536459837	0	2	1	1
00472	1	0.950260806895166	0	1	1	1
00510	1	0.0332836505437992	0	36	1	0.618400844961637
00533	1	0.685337480391358	0	4	1	1
00534	1	0.308360185377057	0	11	1	1
00563	1	0.210565716303559	0	17	1	1
00601	1	0.695207202156689	0	4	1	1
00630	1	0.328498628374945	0	13	1	1
00760	1	0.296614419024128	0	11	1	1
00780	1	0.801209436993034	0	2	1	1
00785	1	0.897018422964005	0	2	1	1
00981	1	0.451025411601861	0	9	1	1
03020	1	0.227244754658862	0	24	1	1
03440	1	0.285098743281455	0	14	1	1
04070	1	0.0178897799057329	0	35	1	0.618400844961637
04080	1	0.0340850859427674	0	35	1	0.618400844961637
04122	1	0.637476232825591	0	8	1	1
04130	1	0.261015441141126	0	18	1	1
04630	1	0.0975244385176422	0	18	1	1
04650	1	0.0961145356623628	0	21	1	1
04710	1	0.321593381568614	0	16	1	1
